City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,kharovsk,59.9642,40.1912,269.44,91,97,2.54,RU,1698613572
162,chesapeake ranch estates,38.3462,-76.4177,302.25,64,20,3.09,US,1698613573
163,remire-montjoly,4.9167,-52.2667,304.17,66,0,5.66,GF,1698613305
164,flying fish cove,-10.4217,105.6791,298.97,88,75,3.6,CX,1698613557
165,san rafael del sur,11.8485,-86.4384,301.69,92,100,1.86,NI,1698613575
166,inverell,-29.7833,151.1167,289.63,66,0,1.34,AU,1698613576
167,ghanzi,-21.5667,21.7833,299.17,18,3,4.31,BW,1698613577
168,klyuchi,52.2667,79.1667,272.41,92,100,1.62,RU,1698613578
169,beyla,8.6833,-8.6333,294.61,76,3,1.2,GN,1698613579
170,labytnangi,66.6572,66.4183,259.21,98,98,1.56,RU,1698613365
171,colares,38.7992,-9.4469,290.56,92,9,10.28,PT,1698613581
172,lushun,38.8,121.2667,289.27,76,1,4.58,CN,1698613582
173,broome,42.2506,-75.833,282.98,90,100,2.57,US,1698613583
174,dudinka,69.4058,86.1778,256.3,98,65,1.79,RU,1698613540
175,mutuali,-14.8706,37.0044,299.5,37,40,1.14,MZ,1698613584
176,petropavlovsk-kamchatsky,53.0452,158.6483,276.18,59,100,2.0,RU,1698613585
177,holualoa,19.6228,-155.9522,300.68,74,20,4.63,US,1698613586
178,panevezys,55.7333,24.35,277.2,96,100,4.45,LT,1698613588
179,ilha de mocambique,-15.0342,40.7358,299.27,86,0,5.48,MZ,1698613589
180,ancud,-41.8697,-73.8203,281.57,60,50,10.0,CL,1698613361
181,uzda,53.4627,27.2137,279.48,94,100,5.01,BY,1698613590
182,bayanaul,50.7889,75.6956,274.96,100,100,1.82,KZ,1698613591
183,keflavik,64.0049,-22.5624,277.39,75,0,2.06,IS,1698613556
184,fale old settlement,-9.3852,-171.2468,302.03,69,100,5.24,TK,1698613504
185,ingeniero jacobacci,-41.3427,-69.5448,277.83,30,100,14.34,AR,1698613593
186,hasaki,35.7333,140.8333,283.37,66,0,7.68,JP,1698613341
187,tonj,7.2737,28.6822,297.86,75,63,1.36,SS,1698613595
188,seven pagodas,12.6264,80.1722,299.18,74,50,3.97,IN,1698613596
189,broken hill,-31.95,141.4333,288.2,43,35,5.26,AU,1698613353
190,kodiak,57.79,-152.4072,281.88,93,100,4.63,US,1698613597
191,puerto ayora,-0.7393,-90.3518,301.13,87,41,4.47,EC,1698613598
